Data Source	Cell Type	TF/DNase/Histone	Treatment	AUC
ENCODE	GM12878	ETS1	None	0.982732225
ENCODE	GM12878	FOXM1	None	0.908199427
ENCODE	GM12878	GABP	None	0.989282546
ENCODE	GM12878	IRF4	None	0.936043019
ENCODE	GM12878	MEF2A	None	0.93046593
ENCODE	GM12878	MEF2C	None	0.936745412
ENCODE	GM12878	MTA3	None	0.90178131
ENCODE	GM12878	NFATC1	None	0.89887617
ENCODE	GM12878	NFIC	None	0.899686423
ENCODE	GM12878	NRSF	None	0.972672904
ENCODE	GM12878	p300	None	0.959467859
ENCODE	GM12878	PAX5-C20	None	0.901631923
ENCODE	GM12878	PAX5-N19	None	0.913278739
ENCODE	GM12878	Pbx3	None	0.932182237
ENCODE	GM12878	PML	None	0.929772758
ENCODE	GM12878	Pol2-4H8	None	0.90377135
ENCODE	GM12878	Pol2	None	0.959416201
ENCODE	GM12878	POU2F2	None	0.928052803
ENCODE	GM12878	PU.1	None	0.962929127
ENCODE	GM12878	Rad21	None	0.980938083
ENCODE	GM12878	RUNX3	None	0.919162035
ENCODE	GM12878	RXRA	None	0.976437786
ENCODE	GM12878	SIX5	None	0.991021044
ENCODE	GM12878	SP1	None	0.957536844
ENCODE	GM12878	SRF	None	0.930531839
ENCODE	GM12878	STAT5A	None	0.901818037
ENCODE	GM12878	TAF1	None	0.963477813
ENCODE	GM12878	TCF12	None	0.951440374
ENCODE	GM12878	TCF3	None	0.948238295
ENCODE	GM12878	USF1	None	0.982058834
ENCODE	GM12878	YY1	None	0.953194446
ENCODE	GM12878	ZBTB33	None	0.971977614
ENCODE	GM12878	ZEB1	None	0.970777569
ENCODE	GM12891	PAX5-C20	None	0.920217596
ENCODE	GM12891	Pol2-4H8	None	0.906857309
ENCODE	GM12891	Pol2	None	0.909163969
ENCODE	GM12891	POU2F2	None	0.931628294
ENCODE	GM12891	PU.1	None	0.963212894
ENCODE	GM12891	TAF1	None	0.966630894
ENCODE	GM12891	YY1	None	0.966791754
ENCODE	GM12892	PAX5-C20	None	0.95642418
ENCODE	GM12892	Pol2-4H8	None	0.90739348
ENCODE	GM12892	Pol2	None	0.935905086
ENCODE	GM12892	TAF1	None	0.97439967
ENCODE	GM12892	YY1	None	0.957820488
ENCODE	H1-hESC	ATF2	None	0.907731656
ENCODE	H1-hESC	ATF3	None	0.983945059
ENCODE	H1-hESC	BCL11A	None	0.944630375
ENCODE	H1-hESC	CTCF	None	0.984219048
ENCODE	H1-hESC	Egr-1	None	0.955980465
ENCODE	H1-hESC	FOSL1	None	0.922824492
ENCODE	H1-hESC	GABP	None	0.9840363
ENCODE	H1-hESC	HDAC2	None	0.948003106
ENCODE	H1-hESC	JunD	None	0.953732371
ENCODE	H1-hESC	NANOG	None	0.934102327
ENCODE	H1-hESC	NRSF	None	0.955115271
ENCODE	H1-hESC	p300	None	0.936784974
ENCODE	H1-hESC	Pol2-4H8	None	0.905106035
ENCODE	H1-hESC	Pol2	None	0.935087749
ENCODE	H1-hESC	POU5F1	None	0.947680682
ENCODE	H1-hESC	Rad21	None	0.974680323
ENCODE	H1-hESC	RXRA	None	0.9556099
ENCODE	H1-hESC	Sin3Ak-20	None	0.956376244
ENCODE	H1-hESC	SIX5	None	0.952015299
ENCODE	H1-hESC	SP1	None	0.934971883
ENCODE	H1-hESC	SP2	None	0.97774562
ENCODE	H1-hESC	SP4	None	0.969467076
ENCODE	H1-hESC	SRF	None	0.868884198
ENCODE	H1-hESC	TAF1	None	0.974526826
ENCODE	H1-hESC	TAF7	None	0.955215777
ENCODE	H1-hESC	TCF12	None	0.940800195
ENCODE	H1-hESC	TEAD4	None	0.944978407
ENCODE	H1-hESC	USF1	None	0.976605801
ENCODE	H1-hESC	YY1	None	0.955372934
ENCODE	HCT-116	Pol2-4H8	None	0.909537554
ENCODE	HCT-116	YY1	None	0.967451126
ENCODE	HCT-116	ZBTB33	None	0.962180053
ENCODE	HeLa-S3	GABP	None	0.983292171
ENCODE	HeLa-S3	NRSF	None	0.946110268
ENCODE	HeLa-S3	Pol2	None	0.918665312
ENCODE	HeLa-S3	TAF1	None	0.957797534
ENCODE	HepG2	ATF3	None	0.983840863
ENCODE	HepG2	BHLHE40	None	0.968259249
ENCODE	HepG2	CEBPB	None	0.975536955
ENCODE	HepG2	CEBPD	None	0.970669
ENCODE	HepG2	CTCF	None	0.987216067
ENCODE	HepG2	ELF1	None	0.964535431
ENCODE	HepG2	FOSL2	None	0.954805675
ENCODE	HepG2	FOXA1	None	0.943876842
ENCODE	HepG2	FOXA1	None	0.943391265
ENCODE	HepG2	FOXA2	None	0.94250105
ENCODE	HepG2	GABP	None	0.989009692
ENCODE	HepG2	HDAC2	None	0.936883372
ENCODE	HepG2	HNF4A	None	0.962192842
ENCODE	HepG2	HNF4G	None	0.953856154
ENCODE	HepG2	JunD	None	0.954413299
ENCODE	HepG2	MBD4	None	0.910186858
ENCODE	HepG2	MYBL2	None	0.908477203
ENCODE	HepG2	NFIC	None	0.908192967
ENCODE	HepG2	NRSF	None	0.984512733
ENCODE	HepG2	NRSF	None	0.954405856
ENCODE	HepG2	p300	None	0.933251689
ENCODE	HepG2	Pol2-4H8	None	0.913581283
ENCODE	HepG2	Pol2	None	0.950075132
ENCODE	HepG2	Rad21	None	0.97695565
ENCODE	HepG2	RXRA	None	0.941341522
ENCODE	HepG2	Sin3Ak-20	None	0.953309287
ENCODE	HepG2	SP1	None	0.940748752
ENCODE	HepG2	SP2	None	0.984856824
ENCODE	HepG2	SRF	None	0.863945284
ENCODE	HepG2	TAF1	None	0.986301908
ENCODE	HepG2	TCF12	None	0.976619988
ENCODE	HepG2	TEAD4	None	0.912274087
ENCODE	HepG2	USF1	None	0.981954733
ENCODE	HepG2	YY1	None	0.967512681
ENCODE	HepG2	ZBTB33	None	0.955733066
ENCODE	HepG2	ZBTB7A	None	0.965646133
ENCODE	HUVEC	Pol2-4H8	None	0.919029423
ENCODE	HUVEC	Pol2	None	0.925692681
ENCODE	K562	ATF3	None	0.961096081
ENCODE	K562	BCL3	None	0.936743247
ENCODE	K562	BCLAF1	None	0.945458895
ENCODE	K562	CBX3	None	0.861997225
ENCODE	K562	CEBPB	None	0.942552729
ENCODE	K562	CTCF	None	0.983868933
ENCODE	K562	CTCFL	None	0.988686441
ENCODE	K562	E2F6	None	0.961880969
ENCODE	K562	Egr-1	None	0.928964256
ENCODE	K562	ELF1	None	0.956772598
ENCODE	K562	ETS1	None	0.972993187
ENCODE	K562	FOSL1	None	0.975073118
ENCODE	K562	GABP	None	0.970087861
ENCODE	K562	GATA2	None	0.954488277
ENCODE	K562	HDAC2	None	0.950688735
ENCODE	K562	Max	None	0.943724522
ENCODE	K562	MEF2A	None	0.901474891
ENCODE	K562	NR2F2	None	0.915923395
ENCODE	K562	NRSF	None	0.950255923
ENCODE	K562	PML	None	0.930317045
ENCODE	K562	Pol2-4H8	None	0.923387624
ENCODE	K562	Pol2	None	0.942416636
ENCODE	K562	PU.1	None	0.96598043
ENCODE	K562	Rad21	None	0.986859557
ENCODE	K562	Sin3Ak-20	None	0.971859143
ENCODE	K562	SIX5	None	0.987212566
ENCODE	K562	SP1	None	0.969713083
ENCODE	K562	SP2	None	0.984476588
ENCODE	K562	SRF	None	0.926789344
ENCODE	K562	STAT5A	None	0.942775781
ENCODE	K562	TAF1	None	0.972586515
ENCODE	K562	TAF7	None	0.906982193
ENCODE	K562	TEAD4	None	0.912867715
ENCODE	K562	THAP1	None	0.98294772
ENCODE	K562	TRIM28	None	0.903574041
ENCODE	K562	USF1	None	0.970172773
ENCODE	K562	YY1	None	0.981013972
ENCODE	K562	YY1	None	0.954257167
ENCODE	K562	ZBTB33	None	0.954130426
ENCODE	K562	ZBTB7A	None	0.966403659
ENCODE	PANC-1	NRSF	None	0.973689817
ENCODE	PANC-1	Pol2-4H8	None	0.897408077
ENCODE	PANC-1	Sin3Ak-20	None	0.976944785
ENCODE	PFSK-1	FOXP2	None	0.964495708
ENCODE	PFSK-1	NRSF	None	0.934629911
ENCODE	PFSK-1	Sin3Ak-20	None	0.929130036
ENCODE	PFSK-1	TAF1	None	0.940366347
ENCODE	SK-N-MC	FOXP2	None	0.916320099
ENCODE	SK-N-MC	Pol2-4H8	None	0.911307817
ENCODE	SK-N-SH	NRSF	None	0.956492028
ENCODE	SK-N-SH	NRSF	None	0.957519989
ENCODE	SK-N-SH	Pol2-4H8	None	0.887350899
ENCODE	SK-N-SH_RA	CTCF	None	0.990513499
ENCODE	SK-N-SH_RA	p300	None	0.887651344
ENCODE	SK-N-SH_RA	Rad21	None	0.955731337
ENCODE	SK-N-SH_RA	USF1	None	0.977357706
ENCODE	SK-N-SH_RA	YY1	None	0.938322663
ENCODE	SK-N-SH	Sin3Ak-20	None	0.935199603
ENCODE	SK-N-SH	TAF1	None	0.96324697
ENCODE	T-47D	CTCF	DMSO_0.02pct	0.987718546
ENCODE	T-47D	ERalpha	BPA_100nM	0.896655112
ENCODE	T-47D	ERalpha	Genistein_100nM	0.881917106
ENCODE	T-47D	ERalpha	Estradiol_10nM	0.881965842
ENCODE	T-47D	FOXA1	DMSO_0.02pct	0.920900739
ENCODE	T-47D	GATA3	DMSO_0.02pct	0.867834648
ENCODE	T-47D	p300	DMSO_0.02pct	0.888434977
ENCODE	U87	NRSF	None	0.976904673
ENCODE	U87	Pol2-4H8	None	0.900571185
ENCODE	A549	BHLHE40	None	0.96018408
ENCODE	A549	CEBPB	None	0.971003852
ENCODE	A549	Max	None	0.971388676
ENCODE	A549	Pol2(phosphoS2)	None	0.690058663
ENCODE	A549	Rad21	None	0.988166636
ENCODE	GM08714	ZNF274	None	0.947259131
ENCODE	GM10847	NFKB	TNFa	0.955891165
ENCODE	GM10847	Pol2	None	0.991781966
ENCODE	GM12878	BHLHE40	None	0.945544173
ENCODE	GM12878	BRCA1	None	0.997414561
ENCODE	GM12878	c-Fos	None	0.991936488
ENCODE	GM12878	CHD1	None	0.895157587
ENCODE	GM12878	CHD2	None	0.947178098
ENCODE	GM12878	COREST	None	0.964843868
ENCODE	GM12878	CTCF	None	0.979554211
ENCODE	GM12878	E2F4	None	0.971854942
ENCODE	GM12878	EBF1	None	0.895186804
ENCODE	GM12878	ELK1	None	0.969076164
ENCODE	GM12878	IKZF1	None	0.920049766
ENCODE	GM12878	JunD	None	0.968859714
ENCODE	GM12878	Max	None	0.96078091
ENCODE	GM12878	MAZ	None	0.95427007
ENCODE	GM12878	Mxi1	None	0.941307542
ENCODE	GM12878	NF-E2	None	0.986997369
ENCODE	GM12878	NFKB	TNFa	0.941718234
ENCODE	GM12878	NF-YA	None	0.988801028
ENCODE	GM12878	NF-YB	None	0.953446787
ENCODE	GM12878	Nrf1	None	0.989395767
ENCODE	GM12878	p300	None	0.960401581
ENCODE	GM12878	p300	None	0.934157759
ENCODE	GM12878	Pol2	None	0.923640748
ENCODE	GM12878	Pol2(phosphoS2)	None	0.93063772
ENCODE	GM12878	Pol2	None	0.971071655
ENCODE	GM12878	Pol3	None	0.917125541
ENCODE	GM12878	Rad21	None	0.980125867
ENCODE	GM12878	RFX5	None	0.922290372
ENCODE	GM12878	SIN3A	None	0.951353386
ENCODE	GM12878	SMC3	None	0.97683586
ENCODE	GM12878	STAT1	None	0.920085046
ENCODE	GM12878	STAT3	None	0.911293092
ENCODE	GM12878	TBLR1	None	0.930762691
ENCODE	GM12878	TBP	None	0.915410346
ENCODE	GM12878	TR4	None	0.966343746
ENCODE	GM12878	USF2	None	0.974007245
ENCODE	GM12878	WHIP	None	0.872775331
ENCODE	GM12878	YY1	None	0.931631258
ENCODE	GM12878	Znf143	None	0.981309101
ENCODE	GM12878	ZNF274	None	0.713830983
ENCODE	GM12878	ZZZ3	None	0.909831654
ENCODE	GM12891	NFKB	TNFa	0.939673524
ENCODE	GM12891	Pol2	None	0.923907627
ENCODE	GM12892	NFKB	TNFa	0.960107103
ENCODE	GM12892	Pol2	None	0.952165027
ENCODE	GM15510	NFKB	TNFa	0.950970137
ENCODE	GM15510	Pol2	None	0.976881456
ENCODE	GM18505	NFKB	TNFa	0.94803172
ENCODE	GM18505	Pol2	None	0.938871088
ENCODE	GM18526	NFKB	TNFa	0.961803523
ENCODE	GM18526	Pol2	None	0.976713281
ENCODE	GM18951	NFKB	TNFa	0.945477681
ENCODE	GM18951	Pol2	None	0.967825803
ENCODE	GM19099	NFKB	TNFa	0.960255197
ENCODE	GM19099	Pol2	None	0.951358777
ENCODE	GM19193	NFKB	TNFa	0.969072564
ENCODE	GM19193	Pol2	None	0.960220865
ENCODE	H1-hESC	Bach1	None	0.951554387
ENCODE	H1-hESC	BRCA1	None	0.951601076
ENCODE	H1-hESC	CEBPB	None	0.972360087
ENCODE	H1-hESC	CHD1	None	0.942244758
ENCODE	H1-hESC	CHD2	None	0.967787985
ENCODE	H1-hESC	c-Jun	None	0.959521379
ENCODE	H1-hESC	c-Myc	None	0.974267534
ENCODE	H1-hESC	CtBP2	None	0.94849473
ENCODE	H1-hESC	GTF2F1	None	0.963751132
ENCODE	H1-hESC	JunD	None	0.949982715
ENCODE	H1-hESC	MafK	None	0.967382485
ENCODE	H1-hESC	Max	None	0.948386098
ENCODE	H1-hESC	Mxi1	None	0.96983703
ENCODE	H1-hESC	Nrf1	None	0.991966979
ENCODE	H1-hESC	Rad21	None	0.98020861
ENCODE	H1-hESC	RFX5	None	0.85103426
ENCODE	H1-hESC	SIN3A	None	0.948347441
ENCODE	H1-hESC	SUZ12	None	0.978213181
ENCODE	H1-hESC	TBP	None	0.955613948
ENCODE	H1-hESC	USF2	None	0.982961949
ENCODE	H1-hESC	Znf143	None	0.950684132
ENCODE	HCT-116	Pol2	None	0.959686426
ENCODE	HCT-116	TCF7L2	None	0.903018908
ENCODE	HEK293	ELK4	None	0.924109029
ENCODE	HEK293	KAP1	None	0.809641664
ENCODE	HEK293	Pol2	None	0.992485887
ENCODE	HEK293	TCF7L2	None	0.866922087
ENCODE	HEK293-T-REx	ZNF263	None	0.873013582
ENCODE	HeLa-S3	AP-2alpha	None	0.904658625
ENCODE	HeLa-S3	AP-2gamma	None	0.901346572
ENCODE	HeLa-S3	BAF155	None	0.909126921
ENCODE	HeLa-S3	BAF170	None	0.936622643
ENCODE	HeLa-S3	BDP1	None	0.844774739
ENCODE	HeLa-S3	BRCA1	None	0.946333572
ENCODE	HeLa-S3	BRF1	None	0.605498744
ENCODE	HeLa-S3	BRF2	None	0.770460038
ENCODE	HeLa-S3	Brg1	None	0.897859854
ENCODE	HeLa-S3	CEBPB	None	0.937691155
ENCODE	HeLa-S3	c-Fos	None	0.975450669
ENCODE	HeLa-S3	CHD2	None	0.9492196
ENCODE	HeLa-S3	c-Jun	None	0.952226121
ENCODE	HeLa-S3	c-Myc	None	0.958479085
ENCODE	HeLa-S3	COREST	None	0.919671937
ENCODE	HeLa-S3	E2F1	None	0.987202318
ENCODE	HeLa-S3	E2F4	None	0.970361333
ENCODE	HeLa-S3	E2F6	None	0.973637295
ENCODE	HeLa-S3	ELK1	None	0.977815622
ENCODE	HeLa-S3	ELK4	None	0.964975721
ENCODE	HeLa-S3	GTF2F1	None	0.934705856
ENCODE	HeLa-S3	HA-E2F1	None	0.991254324
ENCODE	HeLa-S3	Ini1	None	0.962287393
ENCODE	HeLa-S3	IRF3	None	0.979669003
ENCODE	HeLa-S3	JunD	None	0.951714935
ENCODE	HeLa-S3	MafK	None	0.954062448
ENCODE	HeLa-S3	Max	None	0.935116716
ENCODE	HeLa-S3	MAZ	None	0.969079044
ENCODE	HeLa-S3	Mxi1	None	0.951304058
ENCODE	HeLa-S3	NF-YA	None	0.972439158
ENCODE	HeLa-S3	NF-YB	None	0.954531739
ENCODE	HeLa-S3	Nrf1	None	0.979178653
ENCODE	HeLa-S3	p300	None	0.926183354
ENCODE	HeLa-S3	Pol2(phosphoS2)	None	0.922104857
ENCODE	HeLa-S3	Pol2	None	0.963213297
ENCODE	HeLa-S3	PRDM1	None	0.895569716
ENCODE	HeLa-S3	Rad21	None	0.964142326
ENCODE	HeLa-S3	RFX5	None	0.922064179
ENCODE	HeLa-S3	RPC155	None	0.890114854
ENCODE	HeLa-S3	SMC3	None	0.964839996
ENCODE	HeLa-S3	SPT20	None	0.81531614
ENCODE	HeLa-S3	STAT1	IFNg30	0.881584494
ENCODE	HeLa-S3	STAT3	None	0.933131175
ENCODE	HeLa-S3	TBP	None	0.919647674
ENCODE	HeLa-S3	TCF7L2	None	0.873389564
ENCODE	HeLa-S3	TCF7L2	None	0.8773623
ENCODE	HeLa-S3	TFIIIC-110	None	0.935088109
ENCODE	HeLa-S3	TR4	None	0.906066588
ENCODE	HeLa-S3	USF2	None	0.958454669
ENCODE	HeLa-S3	ZKSCAN1	None	0.90532113
ENCODE	HeLa-S3	Znf143	None	0.960017755
ENCODE	HeLa-S3	ZNF274	None	0.899454102
ENCODE	HeLa-S3	ZZZ3	None	0.880458656
ENCODE	HepG2	ARID3A	None	0.924259259
ENCODE	HepG2	BHLHE40	None	0.953077732
ENCODE	HepG2	BRCA1	None	0.988799361
ENCODE	HepG2	CEBPB	forskolin	0.972264344
ENCODE	HepG2	CEBPB	None	0.976886068
ENCODE	HepG2	CHD2	None	0.968810902
ENCODE	HepG2	c-Jun	None	0.971899802
ENCODE	HepG2	COREST	None	0.958667694
ENCODE	HepG2	ERRA	forskolin	0.975984278
ENCODE	HepG2	GRp20	forskolin	0.957398653
ENCODE	HepG2	HNF4A	forskolin	0.9662783
ENCODE	HepG2	HSF1	forskolin	0.921705205
ENCODE	HepG2	IRF3	None	0.96931176
ENCODE	HepG2	JunD	None	0.971430887
ENCODE	HepG2	MafF	None	0.975862258
ENCODE	HepG2	MafK	None	0.981731358
ENCODE	HepG2	MafK	None	0.979731708
ENCODE	HepG2	Max	None	0.975573273
ENCODE	HepG2	MAZ	None	0.97588873
ENCODE	HepG2	Mxi1	None	0.963727963
ENCODE	HepG2	Nrf1	None	0.994817117
ENCODE	HepG2	p300	None	0.947727256
ENCODE	HepG2	PGC1A	forskolin	0.928089534
ENCODE	HepG2	Pol2	forskolin	0.960035601
ENCODE	HepG2	Pol2	None	0.944019531
ENCODE	HepG2	Pol2(phosphoS2)	None	0.848350009
ENCODE	HepG2	Rad21	None	0.982409778
ENCODE	HepG2	RFX5	None	0.89936433
ENCODE	HepG2	SMC3	None	0.979764043
ENCODE	HepG2	SREBP1	None	0.983428563
ENCODE	HepG2	TBP	None	0.94871255
ENCODE	HepG2	TCF7L2	None	0.903350397
ENCODE	HepG2	TR4	None	0.964696398
ENCODE	HepG2	USF2	None	0.988653347
ENCODE	HepG2	ZNF274	None	0.596955528
ENCODE	HUVEC	c-Fos	None	0.944202969
ENCODE	HUVEC	c-Jun	None	0.957483238
ENCODE	HUVEC	GATA2	None	0.907023552
ENCODE	HUVEC	Max	None	0.981942865
ENCODE	HUVEC	Pol2	None	0.924049339
ENCODE	IMR90	CEBPB	None	0.95798567
ENCODE	IMR90	CTCF	None	0.981503184
ENCODE	IMR90	MafK	None	0.97025355
ENCODE	IMR90	Pol2	None	0.92128663
ENCODE	IMR90	Rad21	None	0.973290523
ENCODE	K562	ARID3A	None	0.924187198
ENCODE	K562	ATF1	None	0.962182159
ENCODE	K562	ATF3	None	0.965439893
ENCODE	K562	Bach1	None	0.947245842
ENCODE	K562	BDP1	None	0.74517692
ENCODE	K562	BHLHE40	None	0.943658623
ENCODE	K562	BRF1	None	NA (No positive in Test region)
ENCODE	K562	BRF2	None	0.768319097
ENCODE	K562	Brg1	None	0.902161301
ENCODE	K562	CCNT2	None	0.961463368
ENCODE	K562	CEBPB	None	0.960573739
ENCODE	K562	c-Fos	None	0.984292718
ENCODE	K562	CHD2	None	0.963087411
ENCODE	K562	c-Jun	IFNa30	0.952770695
ENCODE	K562	c-Jun	IFNa6h	0.974512308
ENCODE	K562	c-Jun	IFNg30	0.961981671
ENCODE	K562	c-Jun	IFNg6h	0.9668409
ENCODE	K562	c-Jun	None	0.979084685
ENCODE	K562	c-Myc	IFNa30	0.965803273
ENCODE	K562	c-Myc	IFNa6h	0.958627144
ENCODE	K562	c-Myc	IFNg30	0.939751103
ENCODE	K562	c-Myc	IFNg6h	0.942339139
ENCODE	K562	c-Myc	None	0.934448565
ENCODE	K562	c-Myc	None	0.975674813
ENCODE	K562	COREST	None	0.908252307
ENCODE	K562	COREST	None	0.911971454
ENCODE	K562	CTCF	None	0.980016854
ENCODE	K562	E2F4	None	0.988786937
ENCODE	K562	E2F6	None	0.964418792
ENCODE	K562	ELK1	None	0.979476892
ENCODE	K562	GATA1	None	0.97447874
ENCODE	K562	GATA2	None	0.955857857
ENCODE	K562	GTF2B	None	0.940729606
ENCODE	K562	GTF2F1	None	0.959752809
ENCODE	K562	HMGN3	None	0.974252354
ENCODE	K562	Ini1	None	0.893427266
ENCODE	K562	IRF1	IFNa30	0.940603751
ENCODE	K562	IRF1	IFNa6h	0.950690731
ENCODE	K562	IRF1	IFNg30	0.936764463
ENCODE	K562	IRF1	IFNg6h	0.977518916
ENCODE	K562	JunD	None	0.944681866
ENCODE	K562	KAP1	None	0.914098302
ENCODE	K562	MafF	None	0.961020229
ENCODE	K562	MafK	None	0.961938665
ENCODE	K562	Max	None	0.946385195
ENCODE	K562	MAZ	None	0.954305239
ENCODE	K562	Mxi1	None	0.964367635
ENCODE	K562	NELFe	None	0.968031713
ENCODE	K562	NF-E2	None	0.971532462
ENCODE	K562	NF-YA	None	0.98193275
ENCODE	K562	NF-YB	None	0.985083374
ENCODE	K562	Nrf1	None	0.976438055
ENCODE	K562	p300	None	0.919148287
ENCODE	K562	Pol2	IFNa30	0.959725593
ENCODE	K562	Pol2	IFNa6h	0.958323371
ENCODE	K562	Pol2	IFNg30	0.951753119
ENCODE	K562	Pol2	IFNg6h	0.956693086
ENCODE	K562	Pol2	None	0.91001384
ENCODE	K562	Pol2(phosphoS2)	None	0.841253444
ENCODE	K562	Pol2(phosphoS2)	None	0.798722804
ENCODE	K562	Pol2	None	0.961641054
ENCODE	K562	Pol3	None	0.855313231
ENCODE	K562	Rad21	None	0.993248776
ENCODE	K562	RFX5	None	0.880340706
ENCODE	K562	RPC155	None	0.889954945
ENCODE	K562	SETDB1	MNaseD	0.889128086
ENCODE	K562	SETDB1	None	0.936913605
ENCODE	K562	SIRT6	None	0.952114554
ENCODE	K562	SMC3	None	0.988178139
ENCODE	K562	STAT1	IFNa30	0.940270257
ENCODE	K562	STAT1	IFNa6h	0.940000238
ENCODE	K562	STAT1	IFNg30	0.941438522
ENCODE	K562	STAT1	IFNg6h	0.942626318
ENCODE	K562	STAT2	IFNa30	0.960361202
ENCODE	K562	STAT2	IFNa6h	0.939726578
ENCODE	K562	TAL1	None	0.951608284
ENCODE	K562	TBLR1	None	0.93864645
ENCODE	K562	TBLR1	None	0.951200622
ENCODE	K562	TBP	None	0.935540119
ENCODE	K562	TFIIIC-110	None	0.921036942
ENCODE	K562	TR4	None	0.916490395
